datetime,isSpeaking,volume
2017-04-13 20:40:26,B,0.930877
2017-04-13 20:40:26,B,0.910978
2017-04-13 20:40:26,B,0.941091
2017-04-13 20:40:26,B,0.864379
2017-04-13 20:40:26,B,0.867503
2017-04-13 20:40:26,B,0.826147
2017-04-13 20:40:26,B,0.94365
2017-04-13 20:40:26,B,0.928425
2017-04-13 20:40:27,B,0.938927
2017-04-13 20:40:27,B,0.789577
2017-04-13 20:40:27,B,0.736491
2017-04-13 20:40:27,B,0.506217
2017-04-13 20:40:27,B,0.414604
2017-04-13 20:40:27,B,0.83673
2017-04-13 20:40:27,B,0.750537
2017-04-13 20:40:27,B,0.688019
2017-04-13 20:40:27,B,0.734323
2017-04-13 20:40:27,B,0.915176
2017-04-13 20:40:27,B,0.835262
2017-04-13 20:40:27,B,0.898212
2017-04-13 20:40:27,B,0.934123
2017-04-13 20:40:28,B,0.779134
2017-04-13 20:40:29,B,0.840656
2017-04-13 20:40:29,B,0.854153
2017-04-13 20:40:29,B,0.792165
2017-04-13 20:40:29,B,0.956077
2017-04-13 20:40:29,B,0.831126
2017-04-13 20:40:30,B,0.988238
2017-04-13 20:40:30,B,0.925261
2017-04-13 20:40:30,B,0.841971
2017-04-13 20:40:30,B,1
2017-04-13 20:40:30,B,1
2017-04-13 20:40:30,B,1
2017-04-13 20:40:30,B,0.930068
2017-04-13 20:40:30,B,0.804954
2017-04-13 20:40:30,B,0.847592
2017-04-13 20:40:30,B,1
2017-04-13 20:40:30,B,0.900736
2017-04-13 20:40:30,B,0.952275
2017-04-13 20:40:30,B,0.96644
2017-04-13 20:40:30,B,0.973777
2017-04-13 20:40:31,B,0.913268
2017-04-13 20:40:31,B,0.888914
2017-04-13 20:40:31,B,0.916449
2017-04-13 20:40:31,B,0.895807
2017-04-13 20:40:31,B,0.852987
2017-04-13 20:40:31,B,0.995668
2017-04-13 20:40:31,B,0.887401
2017-04-13 20:40:31,B,0.88703
2017-04-13 20:40:31,B,0.878989
2017-04-13 20:40:31,B,0.858947
2017-04-13 20:40:32,B,0.88662
2017-04-13 20:40:32,B,0.949874
2017-04-13 20:40:32,B,0.974811
2017-04-13 20:40:32,B,0.886922
2017-04-13 20:40:32,B,0.872581
2017-04-13 20:40:32,B,0.792475
2017-04-13 20:40:32,B,0.599912
2017-04-13 20:40:33,B,0.537049
2017-04-13 20:40:33,B,0.519827
2017-04-13 20:40:33,B,0.492986
2017-04-13 20:40:33,B,0.962689
2017-04-13 20:40:33,B,0.898555
2017-04-13 20:40:33,B,0.927078
2017-04-13 20:40:33,B,0.927548
2017-04-13 20:40:33,B,1
2017-04-13 20:40:33,B,0.973999
2017-04-13 20:40:33,B,0.944178
2017-04-13 20:40:33,B,0.844202
2017-04-13 20:40:33,B,0.892298
2017-04-13 20:40:33,B,0.682736
2017-04-13 20:40:34,B,0.935928
2017-04-13 20:40:34,B,0.90661
2017-04-13 20:40:34,B,0.86422
